,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021400669,1610612758,SAC,Sacramento,1889,Andre Miller,,,20,0.609,0.469,0.117,0.077,0.375,0.167,0.123,0.167
1,0021400669,1610612752,NYK,New York,200745,Andrea Bargnani,C,,18,0.364,0.333,0.132,0.238,0.721,0.382,0.094,0.1
2,0021400669,1610612758,SAC,Sacramento,200752,Rudy Gay,F,,26,0.521,0.511,0.116,0.167,0.426,0.383,0.119,0.125
3,0021400669,1610612758,SAC,Sacramento,200797,Ryan Hollins,,,5,0.444,0.444,0.279,0.6,0.357,1.0,0.331,0.333
4,0021400669,1610612752,NYK,New York,200811,Lou Amundson,F,,12,0.295,0.182,0.149,0.067,0.652,0.565,0.067,0.125
5,0021400669,1610612752,NYK,New York,201160,Jason Smith,,,21,0.475,0.375,0.09,0.375,0.444,0.5,0.111,0.211
6,0021400669,1610612758,SAC,Sacramento,201171,Carl Landry,,,5,0.444,0.444,0.279,0.6,0.357,1.0,0.331,0.333
7,0021400669,1610612758,SAC,Sacramento,201574,Jason Thompson,F,,28,0.65,0.34,0.096,0.059,0.357,0.245,0.135,0.107
8,0021400669,1610612758,SAC,Sacramento,201956,Omri Casspi,,,20,0.621,0.394,0.164,0.273,0.313,0.344,0.196,0.19
9,0021400669,1610612758,SAC,Sacramento,202326,DeMarcus Cousins,C,,28,0.53,0.56,0.107,0.174,0.44,0.38,0.13,0.192
10,0021400669,1610612752,NYK,New York,202332,Cole Aldrich,,,20,0.516,0.548,0.207,0.286,0.472,0.5,0.137,0.316
11,0021400669,1610612752,NYK,New York,202498,Lance Thomas,,,21,0.476,0.317,0.089,0.353,0.5,0.571,0.112,0.211
12,0021400669,1610612758,SAC,Sacramento,202682,Derrick Williams,,,28,0.521,0.438,0.147,0.208,0.382,0.294,0.104,0.214
13,0021400669,1610612752,NYK,New York,203112,Quincy Acy,,,19,0.267,0.433,0.172,0.091,0.5,0.375,0.174,0.25
14,0021400669,1610612752,NYK,New York,203144,Alexey Shved,,,32,0.439,0.421,0.131,0.286,0.455,0.382,0.151,0.267
15,0021400669,1610612758,SAC,Sacramento,203463,Ben McLemore,G,,23,0.532,0.404,0.074,0.227,0.357,0.357,0.136,0.154
16,0021400669,1610612758,SAC,Sacramento,203492,Ray McCallum,G,,27,0.52,0.431,0.144,0.292,0.402,0.522,0.165,0.207
17,0021400669,1610612752,NYK,New York,203499,Shane Larkin,,,27,0.459,0.408,0.134,0.214,0.489,0.457,0.199,0.269
18,0021400669,1610612752,NYK,New York,203501,Tim Hardaway Jr.,G,,15,0.304,0.261,0.221,0.067,0.7,0.367,0.054,0.0
19,0021400669,1610612758,SAC,Sacramento,203917,Nik Stauskas,,,25,0.564,0.462,0.189,0.235,0.442,0.372,0.157,0.304
20,0021400669,1610612752,NYK,New York,203921,Cleanthony Early,F,,18,0.281,0.25,0.148,0.043,0.652,0.394,0.137,0.083
21,0021400669,1610612752,NYK,New York,204037,Travis Wear,,,9,0.333,0.467,0.237,0.167,0.536,0.286,0.354,0.429
22,0021400669,1610612752,NYK,New York,204038,Langston Galloway,G,,23,0.284,0.324,0.151,0.125,0.646,0.512,0.075,0.083
23,0021400801,1610612742,DAL,Dallas,101111,Charlie Villanueva,,,12,0.5,0.222,0.181,0.467,0.524,0.381,0.305,0.5
24,0021400801,1610612742,DAL,Dallas,101145,Monta Ellis,G,,35,0.391,0.188,0.158,0.25,0.478,0.294,0.224,0.514
25,0021400801,1610612742,DAL,Dallas,1717,Dirk Nowitzki,F,,30,0.412,0.193,0.152,0.182,0.475,0.23,0.181,0.448
26,0021400801,1610612742,DAL,Dallas,200765,Rajon Rondo,G,,29,0.352,0.13,0.166,0.2,0.45,0.2,0.177,0.467
27,0021400801,1610612742,DAL,Dallas,200826,Jose Juan Barea,,,14,0.5,0.074,0.139,0.2,0.386,0.273,0.284,0.167
28,0021400801,1610612760,OKC,Oklahoma City,201142,Kevin Durant,F,,37,0.414,0.184,0.215,0.476,0.377,0.13,0.156,0.186
29,0021400801,1610612760,OKC,Oklahoma City,201566,Russell Westbrook,G,,35,0.486,0.348,0.216,0.545,0.39,0.205,0.165,0.311
30,0021400801,1610612760,OKC,Oklahoma City,201586,Serge Ibaka,F,,37,0.444,0.338,0.221,0.474,0.346,0.167,0.135,0.25
31,0021400801,1610612760,OKC,Oklahoma City,201627,Anthony Morrow,,,29,0.539,0.314,0.232,0.238,0.43,0.228,0.185,0.294
32,0021400801,1610612742,DAL,Dallas,202329,Al-Farouq Aminu,,,16,0.516,0.25,0.164,0.278,0.423,0.538,0.358,0.5
33,0021400801,1610612742,DAL,Dallas,202718,Chandler Parsons,F,,36,0.37,0.123,0.132,0.229,0.458,0.254,0.231,0.5
34,0021400801,1610612760,OKC,Oklahoma City,203079,Dion Waiters,,,27,0.432,0.364,0.262,0.273,0.438,0.25,0.209,0.296
35,0021400801,1610612760,OKC,Oklahoma City,203087,Jeremy Lamb,,,4,0.667,0.222,0.202,0.667,0.455,0.091,0.0,0.375
36,0021400801,1610612760,OKC,Oklahoma City,203103,Perry Jones,,,9,0.5,0.2,0.202,0.222,0.571,0.286,0.289,0.167
37,0021400801,1610612742,DAL,Dallas,203108,Bernard James,,,8,0.4,0.4,0.426,0.2,0.406,0.375,0.185,0.125
