,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
884,0021500119,1610612745,Rockets,HOU,Houston,240,0.469,0.122,0.072,0.245,0.469,0.173,0.114,0.385
885,0021500119,1610612751,Nets,BKN,Brooklyn,240,0.469,0.173,0.114,0.385,0.469,0.122,0.072,0.245
886,0021500120,1610612744,Warriors,GSW,Golden State,240,0.553,0.307,0.227,0.184,0.364,0.514,0.217,0.256
887,0021500120,1610612763,Grizzlies,MEM,Memphis,240,0.364,0.514,0.217,0.256,0.553,0.307,0.227,0.184
888,0021500121,1610612743,Nuggets,DEN,Denver,240,0.544,0.304,0.156,0.359,0.595,0.114,0.185,0.267
889,0021500121,1610612749,Bucks,MIL,Milwaukee,240,0.595,0.114,0.185,0.267,0.544,0.304,0.156,0.359
890,0021500122,1610612758,Kings,SAC,Sacramento,240,0.561,0.324,0.197,0.184,0.433,0.225,0.16,0.264
891,0021500122,1610612765,Pistons,DET,Detroit,240,0.433,0.225,0.16,0.264,0.561,0.324,0.197,0.184
892,0021500123,1610612757,Trail Blazers,POR,Portland,240,0.494,0.261,0.093,0.227,0.604,0.22,0.118,0.235
893,0021500123,1610612759,Spurs,SAS,San Antonio,240,0.604,0.22,0.118,0.235,0.494,0.261,0.093,0.227
894,0021500124,1610612748,Heat,MIA,Miami,240,0.494,0.325,0.158,0.205,0.404,0.281,0.101,0.22
895,0021500124,1610612762,Jazz,UTA,Utah,240,0.404,0.281,0.101,0.22,0.494,0.325,0.158,0.205
896,0021500125,1610612744,Warriors,GSW,Golden State,240,0.64,0.18,0.109,0.158,0.511,0.414,0.129,0.357
897,0021500125,1610612750,Timberwolves,MIN,Minnesota,240,0.511,0.414,0.129,0.357,0.64,0.18,0.109,0.158
898,0021500126,1610612746,Clippers,LAC,Los Angeles,240,0.494,0.311,0.142,0.245,0.614,0.253,0.201,0.265
899,0021500126,1610612756,Suns,PHX,Phoenix,240,0.614,0.253,0.201,0.265,0.494,0.311,0.142,0.245
900,0021500127,1610612750,Timberwolves,MIN,Minnesota,240,0.548,0.157,0.165,0.222,0.535,0.267,0.116,0.279
901,0021500127,1610612754,Pacers,IND,Indiana,240,0.535,0.267,0.116,0.279,0.548,0.157,0.165,0.222
902,0021500128,1610612753,Magic,ORL,Orlando,240,0.487,0.408,0.216,0.256,0.437,0.264,0.166,0.255
903,0021500128,1610612762,Jazz,UTA,Utah,240,0.437,0.264,0.166,0.255,0.487,0.408,0.216,0.256
904,0021500129,1610612737,Hawks,ATL,Atlanta,240,0.513,0.263,0.176,0.132,0.461,0.117,0.099,0.362
905,0021500129,1610612738,Celtics,BOS,Boston,240,0.461,0.117,0.099,0.362,0.513,0.263,0.176,0.132
906,0021500130,1610612739,Cavaliers,CLE,Cleveland,240,0.462,0.397,0.131,0.25,0.424,0.266,0.161,0.213
907,0021500130,1610612752,Knicks,NYK,New York,240,0.424,0.266,0.161,0.213,0.462,0.397,0.131,0.25
908,0021500131,1610612740,Pelicans,NOP,New Orleans,240,0.409,0.244,0.157,0.222,0.5,0.351,0.174,0.317
909,0021500131,1610612761,Raptors,TOR,Toronto,240,0.5,0.351,0.174,0.317,0.409,0.244,0.157,0.222
910,0021500132,1610612741,Bulls,CHI,Chicago,240,0.464,0.369,0.112,0.217,0.458,0.126,0.071,0.161
911,0021500132,1610612766,Hornets,CHA,Charlotte,240,0.458,0.126,0.071,0.161,0.464,0.369,0.112,0.217
912,0021500133,1610612757,Trail Blazers,POR,Portland,240,0.536,0.42,0.235,0.323,0.453,0.314,0.107,0.298
913,0021500133,1610612763,Grizzlies,MEM,Memphis,240,0.453,0.314,0.107,0.298,0.536,0.42,0.235,0.323
914,0021500134,1610612755,76ers,PHI,Philadelphia,240,0.378,0.326,0.173,0.235,0.443,0.216,0.126,0.34
915,0021500134,1610612760,Thunder,OKC,Oklahoma City,240,0.443,0.216,0.126,0.34,0.378,0.326,0.173,0.235
916,0021500135,1610612742,Mavericks,DAL,Dallas,240,0.409,0.354,0.146,0.143,0.381,0.205,0.214,0.268
917,0021500135,1610612747,Lakers,LAL,Los Angeles,240,0.381,0.205,0.214,0.268,0.409,0.354,0.146,0.143
