,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
575,0021401087,1610612766,Hornets,CHA,Charlotte,240,125.4,104.0,21.4,0.667,3.11,22.1,0.194,0.833,0.538,9.817,0.6,0.641,0.198,93.92,0.57
576,0021401088,1610612741,Bulls,CHI,Chicago,240,116.0,86.6,29.4,0.651,2.0,20.6,0.316,0.813,0.593,14.632,0.548,0.592,0.196,94.02,0.671
577,0021401088,1610612752,Knicks,NYK,New York,240,86.6,116.0,-29.4,0.733,1.57,17.8,0.188,0.684,0.407,15.158,0.405,0.458,0.198,94.02,0.329
578,0021401089,1610612744,Warriors,GSW,Golden State,240,104.7,94.0,10.7,0.643,1.23,19.7,0.206,0.717,0.517,21.326,0.585,0.613,0.2,102.12,0.569
579,0021401089,1610612749,Bucks,MIL,Milwaukee,240,94.0,104.7,-10.7,0.727,1.6,17.1,0.283,0.794,0.483,14.84,0.391,0.47,0.2,102.12,0.431
580,0021401090,1610612760,Thunder,OKC,Oklahoma City,240,88.9,98.5,-9.6,0.452,0.61,11.3,0.278,0.704,0.533,22.982,0.466,0.511,0.2,97.74,0.471
581,0021401090,1610612762,Jazz,UTA,Utah,240,98.5,88.9,9.6,0.375,1.0,9.7,0.296,0.722,0.467,12.579,0.417,0.473,0.198,97.74,0.529
582,0021401091,1610612743,Nuggets,DEN,Denver,240,112.1,118.9,-6.8,0.558,2.18,17.6,0.229,0.778,0.464,10.818,0.516,0.561,0.2,101.3,0.442
583,0021401091,1610612757,Trail Blazers,POR,Portland,240,118.9,112.1,6.8,0.604,1.81,21.0,0.222,0.771,0.536,15.854,0.612,0.646,0.2,101.3,0.558
584,0021401092,1610612739,Cavaliers,CLE,Cleveland,240,94.6,92.9,1.8,0.515,1.0,13.4,0.346,0.761,0.541,18.494,0.441,0.468,0.2,92.26,0.521
585,0021401092,1610612755,76ers,PHI,Philadelphia,240,92.9,94.6,-1.8,0.529,1.38,14.8,0.239,0.654,0.459,14.039,0.464,0.475,0.2,92.26,0.479
586,0021401093,1610612747,Lakers,LAL,Los Angeles,240,101.2,108.9,-7.7,0.595,2.27,19.0,0.196,0.85,0.5,11.243,0.495,0.516,0.2,98.04,0.439
587,0021401093,1610612751,Nets,BKN,Brooklyn,240,108.9,101.2,7.7,0.69,3.63,21.8,0.15,0.804,0.5,8.143,0.529,0.556,0.2,98.04,0.561
588,0021401094,1610612740,Pelicans,NOP,New Orleans,240,118.8,93.1,25.8,0.674,2.07,22.6,0.206,0.7,0.473,15.125,0.613,0.643,0.2,93.56,0.648
589,0021401094,1610612750,Timberwolves,MIN,Minnesota,240,93.1,118.8,-25.8,0.531,0.81,13.8,0.3,0.794,0.527,22.208,0.44,0.514,0.2,93.56,0.352
590,0021401095,1610612738,Celtics,BOS,Boston,240,101.8,118.3,-16.5,0.744,2.9,20.4,0.184,0.705,0.43,9.604,0.462,0.514,0.2,102.36,0.423
591,0021401095,1610612746,Clippers,LAC,Los Angeles,240,118.3,101.8,16.5,0.683,2.33,19.8,0.295,0.816,0.57,11.928,0.565,0.586,0.2,102.36,0.577
592,0021401096,1610612748,Heat,MIA,Miami,240,118.8,112.5,6.3,0.513,1.82,15.9,0.368,0.711,0.554,11.988,0.518,0.575,0.198,91.22,0.543
593,0021401096,1610612765,Pistons,DET,Detroit,240,112.5,118.8,-6.3,0.6,2.18,18.8,0.289,0.632,0.446,12.131,0.53,0.55,0.2,91.22,0.457
594,0021401097,1610612745,Rockets,HOU,Houston,240,100.5,93.5,6.9,0.529,0.9,13.6,0.333,0.771,0.552,20.3,0.481,0.524,0.198,97.9,0.521
595,0021401097,1610612764,Wizards,WAS,Washington,240,93.5,100.5,-6.9,0.586,1.0,13.6,0.229,0.667,0.448,17.475,0.413,0.498,0.2,97.9,0.479
596,0021401098,1610612759,Spurs,SAS,San Antonio,240,113.3,94.4,18.9,0.595,2.5,19.9,0.244,0.927,0.585,10.999,0.53,0.566,0.196,92.6,0.603
597,0021401098,1610612763,Grizzlies,MEM,Memphis,240,94.4,113.3,-18.9,0.611,2.2,18.4,0.073,0.756,0.415,10.607,0.476,0.51,0.2,92.6,0.397
598,0021401099,1610612742,Mavericks,DAL,Dallas,240,97.7,105.6,-8.0,0.5,1.67,15.3,0.188,0.889,0.488,11.839,0.478,0.503,0.2,99.9,0.431
599,0021401099,1610612754,Pacers,IND,Indiana,240,105.6,97.7,8.0,0.605,1.53,18.3,0.111,0.813,0.512,15.238,0.566,0.595,0.2,99.9,0.569
600,0021401100,1610612756,Suns,PHX,Phoenix,240,94.6,106.4,-11.8,0.622,1.28,17.2,0.178,0.744,0.455,17.551,0.482,0.524,0.2,102.5,0.466
601,0021401100,1610612760,Thunder,OKC,Oklahoma City,240,106.4,94.6,11.8,0.4,1.0,12.4,0.256,0.822,0.545,15.619,0.523,0.559,0.198,102.5,0.534
602,0021401101,1610612738,Celtics,BOS,Boston,240,124.6,110.2,14.4,0.622,4.0,20.9,0.302,0.744,0.512,7.517,0.556,0.585,0.2,93.74,0.548
603,0021401101,1610612766,Hornets,CHA,Charlotte,240,110.2,124.6,-14.4,0.5,1.82,16.1,0.256,0.698,0.488,11.657,0.512,0.557,0.198,93.74,0.452
604,0021401102,1610612747,Lakers,LAL,Los Angeles,265,112.8,101.2,11.6,0.675,1.59,19.4,0.279,0.623,0.469,16.966,0.549,0.593,0.2,95.06,0.561
605,0021401102,1610612755,76ers,PHI,Philadelphia,265,101.2,112.8,-11.6,0.692,1.59,17.2,0.377,0.721,0.531,15.494,0.458,0.492,0.197,95.06,0.439
606,0021401103,1610612737,Hawks,ATL,Atlanta,240,114.0,101.0,13.0,0.806,2.64,22.4,0.316,0.698,0.519,12.421,0.513,0.564,0.2,87.84,0.588
607,0021401103,1610612749,Bucks,MIL,Milwaukee,240,101.0,114.0,-13.0,0.765,1.73,20.6,0.302,0.684,0.481,17.218,0.48,0.517,0.192,87.84,0.412
608,0021401104,1610612745,Rockets,HOU,Houston,240,96.3,105.5,-9.1,0.6,1.5,15.8,0.25,0.707,0.461,14.051,0.464,0.492,0.198,96.76,0.431
609,0021401104,1610612761,Raptors,TOR,Toronto,240,105.5,96.3,9.1,0.571,1.25,15.9,0.293,0.75,0.539,17.043,0.5,0.551,0.198,96.76,0.569
610,0021401105,1610612758,Kings,SAC,Sacramento,240,89.4,107.2,-17.8,0.485,1.07,13.2,0.279,0.674,0.477,16.164,0.438,0.462,0.194,91.64,0.364
611,0021401105,1610612763,Grizzlies,MEM,Memphis,240,107.2,89.4,17.8,0.605,1.64,18.0,0.326,0.721,0.523,15.473,0.506,0.536,0.198,91.64,0.636
612,0021401106,1610612750,Timberwolves,MIN,Minnesota,240,92.4,115.7,-23.2,0.75,1.62,17.2,0.233,0.632,0.42,14.305,0.408,0.478,0.198,90.4,0.387
613,0021401106,1610612762,Jazz,UTA,Utah,240,115.7,92.4,23.2,0.462,1.29,14.8,0.368,0.767,0.58,15.569,0.537,0.578,0.196,90.4,0.613
614,0021401107,1610612756,Suns,PHX,Phoenix,240,90.1,114.3,-24.1,0.474,1.5,14.8,0.174,0.769,0.447,12.579,0.454,0.47,0.2,95.4,0.37
615,0021401107,1610612757,Trail Blazers,POR,Portland,240,114.3,90.1,24.1,0.591,1.86,19.9,0.231,0.826,0.553,14.675,0.581,0.603,0.2,95.4,0.63
616,0021401108,1610612751,Nets,BKN,Brooklyn,240,117.7,109.8,7.9,0.625,3.13,19.9,0.162,0.854,0.526,8.482,0.556,0.601,0.198,95.44,0.54
617,0021401108,1610612754,Pacers,IND,Indiana,240,109.8,117.7,-7.9,0.622,2.3,18.3,0.146,0.838,0.474,10.356,0.524,0.573,0.2,95.44,0.46
