,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0021400669,1610612758,SAC,Sacramento,1889,Andre Miller,,,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0021400669,1610612752,NYK,New York,200745,Andrea Bargnani,C,,18,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0,0.667,0.0,1.0,0.0,0.0,0.0,1.0
2,0021400669,1610612758,SAC,Sacramento,200752,Rudy Gay,F,,26,0.733,0.267,0.48,0.24,0.36,0.04,0.16,0.12,0.24,0.167,0.833,0.667,0.333,0.333,0.667
3,0021400669,1610612758,SAC,Sacramento,200797,Ryan Hollins,,,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0021400669,1610612752,NYK,New York,200811,Lou Amundson,F,,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,0021400669,1610612752,NYK,New York,201160,Jason Smith,,,21,0.9,0.1,0.923,0.462,0.0,0.077,0.077,0.0,0.462,0.833,0.167,0.0,0.0,0.833,0.167
6,0021400669,1610612758,SAC,Sacramento,201171,Carl Landry,,,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0021400669,1610612758,SAC,Sacramento,201574,Jason Thompson,F,,28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
8,0021400669,1610612758,SAC,Sacramento,201956,Omri Casspi,,,20,0.8,0.2,0.857,0.0,0.0,0.429,0.143,0.143,0.857,0.5,0.5,0.0,0.0,0.5,0.5
9,0021400669,1610612758,SAC,Sacramento,202326,DeMarcus Cousins,C,,28,0.9,0.1,0.364,0.091,0.136,0.227,0.5,0.091,0.273,0.5,0.5,1.0,0.0,0.6,0.4
10,0021400669,1610612752,NYK,New York,202332,Cole Aldrich,,,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5
11,0021400669,1610612752,NYK,New York,202498,Lance Thomas,,,21,0.889,0.111,0.667,0.333,0.0,0.0,0.333,0.167,0.333,0.5,0.5,0.0,0.0,0.5,0.5
12,0021400669,1610612758,SAC,Sacramento,202682,Derrick Williams,,,28,0.583,0.417,0.471,0.235,0.529,0.0,0.0,0.0,0.235,0.5,0.5,1.0,0.0,0.714,0.286
13,0021400669,1610612752,NYK,New York,203112,Quincy Acy,,,19,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0021400669,1610612752,NYK,New York,203144,Alexey Shved,,,32,0.636,0.364,0.533,0.0,0.0,0.333,0.467,0.0,0.533,0.25,0.75,0.0,0.0,0.25,0.75
15,0021400669,1610612758,SAC,Sacramento,203463,Ben McLemore,G,,23,0.667,0.333,0.4,0.0,0.3,0.55,0.3,0.15,0.4,1.0,0.0,1.0,0.0,1.0,0.0
16,0021400669,1610612758,SAC,Sacramento,203492,Ray McCallum,G,,27,1.0,0.0,0.667,0.0,0.0,1.0,0.333,0.667,0.667,1.0,0.0,0.0,0.0,1.0,0.0
17,0021400669,1610612752,NYK,New York,203499,Shane Larkin,,,27,0.667,0.333,0.615,0.308,0.231,0.154,0.154,0.154,0.308,0.0,1.0,1.0,0.0,0.2,0.8
18,0021400669,1610612752,NYK,New York,203501,Tim Hardaway Jr.,G,,15,0.286,0.714,0.0,0.0,0.857,0.429,0.143,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,0021400669,1610612758,SAC,Sacramento,203917,Nik Stauskas,,,25,0.75,0.25,0.4,0.0,0.2,0.0,0.4,0.267,0.4,0.333,0.667,1.0,0.0,0.5,0.5
20,0021400669,1610612752,NYK,New York,203921,Cleanthony Early,F,,18,0.667,0.333,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0
21,0021400669,1610612752,NYK,New York,204037,Travis Wear,,,9,0.667,0.333,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22,0021400669,1610612752,NYK,New York,204038,Langston Galloway,G,,23,0.75,0.25,0.667,0.667,0.0,0.0,0.333,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5
23,0021400801,1610612742,DAL,Dallas,101111,Charlie Villanueva,,,12,0.375,0.625,0.364,0.182,0.545,0.273,0.091,0.545,0.182,1.0,0.0,1.0,0.0,1.0,0.0
24,0021400801,1610612742,DAL,Dallas,101145,Monta Ellis,G,,35,0.615,0.385,0.286,0.0,0.429,0.714,0.286,0.286,0.286,0.0,1.0,1.0,0.0,0.5,0.5
25,0021400801,1610612742,DAL,Dallas,1717,Dirk Nowitzki,F,,30,0.813,0.188,0.857,0.429,0.0,0.0,0.143,0.286,0.429,0.5,0.5,0.0,0.0,0.5,0.5
