,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021400669,1610612758,SAC,Sacramento,1889,Andre Miller,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-2
1,0021400669,1610612752,NYK,New York,200745,Andrea Bargnani,C,,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-18
2,0021400669,1610612758,SAC,Sacramento,200752,Rudy Gay,F,,12,4,8,0.5,2,3,0.667,3,4,0.75,2,2,4,3,1,0,0,0,13,6
3,0021400669,1610612752,NYK,New York,200811,Lou Amundson,F,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-7
4,0021400669,1610612752,NYK,New York,201160,Jason Smith,,,6,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,1,4,12
5,0021400669,1610612758,SAC,Sacramento,201574,Jason Thompson,F,,8,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,12
6,0021400669,1610612758,SAC,Sacramento,201956,Omri Casspi,,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
7,0021400669,1610612758,SAC,Sacramento,202326,DeMarcus Cousins,C,,11,2,6,0.333,0,0,0.0,6,6,1.0,0,1,1,1,1,0,0,1,10,6
8,0021400669,1610612752,NYK,New York,202332,Cole Aldrich,,,7,3,3,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,2,6,1
9,0021400669,1610612752,NYK,New York,202498,Lance Thomas,,,7,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,4
10,0021400669,1610612758,SAC,Sacramento,202682,Derrick Williams,,,4,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,0,3,-6
11,0021400669,1610612752,NYK,New York,203112,Quincy Acy,,,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
12,0021400669,1610612752,NYK,New York,203144,Alexey Shved,,,6,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,2,0,0,0,0,4,12
13,0021400669,1610612758,SAC,Sacramento,203463,Ben McLemore,G,,8,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,3,0,0,0,0,5,10
14,0021400669,1610612758,SAC,Sacramento,203492,Ray McCallum,G,,8,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,8
15,0021400669,1610612752,NYK,New York,203499,Shane Larkin,,,7,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,4,0,0,1,1,6,4
16,0021400669,1610612752,NYK,New York,203501,Tim Hardaway Jr.,G,,5,2,5,0.4,2,3,0.667,1,2,0.5,0,0,0,0,0,0,1,0,7,-18
17,0021400669,1610612758,SAC,Sacramento,203917,Nik Stauskas,,,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
18,0021400669,1610612752,NYK,New York,203921,Cleanthony Early,F,,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-10
19,0021400669,1610612752,NYK,New York,204038,Langston Galloway,G,,4,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-10
20,0021400801,1610612742,DAL,Dallas,101111,Charlie Villanueva,,,4,1,3,0.333,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,3,3
21,0021400801,1610612742,DAL,Dallas,101145,Monta Ellis,G,,8,1,4,0.25,0,2,0.0,2,2,1.0,0,0,0,1,3,0,1,1,4,-6
22,0021400801,1610612742,DAL,Dallas,1717,Dirk Nowitzki,F,,9,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-3
23,0021400801,1610612742,DAL,Dallas,200765,Rajon Rondo,G,,5,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-4
24,0021400801,1610612742,DAL,Dallas,200826,Jose Juan Barea,,,3,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,0,5,2
25,0021400801,1610612760,OKC,Oklahoma City,201142,Kevin Durant,F,,7,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,7
26,0021400801,1610612760,OKC,Oklahoma City,201566,Russell Westbrook,G,,12,2,4,0.5,1,3,0.333,10,10,1.0,1,0,1,3,1,0,4,2,15,4
27,0021400801,1610612760,OKC,Oklahoma City,201586,Serge Ibaka,F,,12,3,6,0.5,0,0,0.0,2,2,1.0,4,1,5,0,0,0,1,0,8,2
28,0021400801,1610612760,OKC,Oklahoma City,201627,Anthony Morrow,,,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,-1
29,0021400801,1610612742,DAL,Dallas,202329,Al-Farouq Aminu,,,6,1,2,0.5,1,1,1.0,2,2,1.0,2,0,2,1,2,0,0,1,5,2
30,0021400801,1610612742,DAL,Dallas,202718,Chandler Parsons,F,,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7
31,0021400801,1610612760,OKC,Oklahoma City,203079,Dion Waiters,,,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,-2
32,0021400801,1610612760,OKC,Oklahoma City,203103,Perry Jones,,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
33,0021400801,1610612760,OKC,Oklahoma City,203460,Andre Roberson,G,,5,1,4,0.25,0,1,0.0,0,0,0.0,2,1,3,0,0,0,2,1,2,4
34,0021400801,1610612760,OKC,Oklahoma City,203956,Mitch McGary,,,6,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,-2
35,0021400801,1610612742,DAL,Dallas,2199,Tyson Chandler,C,,8,2,3,0.667,0,0,0.0,2,2,1.0,2,0,2,0,0,0,0,0,6,-7
36,0021400801,1610612760,OKC,Oklahoma City,2555,Nick Collison,C,,5,0,3,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,1,0,6
37,0021400801,1610612742,DAL,Dallas,2734,Devin Harris,,,6,2,3,0.667,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,3,6,0
38,0021400802,1610612746,LAC,Los Angeles,101108,Chris Paul,G,,11,4,5,0.8,1,2,0.5,0,0,0.0,0,1,1,5,0,0,2,2,9,6
39,0021400802,1610612759,SAS,San Antonio,1495,Tim Duncan,F,,8,1,2,0.5,0,0,0.0,5,5,1.0,0,1,1,1,0,0,0,0,7,-4
40,0021400802,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,6,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,2,0,0,1,1,3,-11
41,0021400802,1610612746,LAC,Los Angeles,200755,JJ Redick,G,,12,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,0,3,5
42,0021400802,1610612746,LAC,Los Angeles,201150,Spencer Hawes,F,,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,3,0,-7
43,0021400802,1610612759,SAS,San Antonio,201158,Marco Belinelli,,,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7
44,0021400802,1610612759,SAS,San Antonio,201168,Tiago Splitter,,,4,1,2,0.5,0,0,0.0,5,5,1.0,1,0,1,1,0,0,0,0,7,-1
45,0021400802,1610612746,LAC,Los Angeles,201175,Glen Davis,,,5,2,2,1.0,0,0,0.0,1,1,1.0,2,0,2,0,0,1,0,3,5,12
46,0021400802,1610612746,LAC,Los Angeles,201599,DeAndre Jordan,C,,12,6,7,0.857,0,0,0.0,0,0,0.0,3,3,6,0,1,0,0,3,12,5
