,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1630,0021500496,1610612756,Suns,PHX,Phoenix,240,0.651,0.349,0.555,0.286,0.252,0.143,0.193,0.176,0.269,0.576,0.424,0.8,0.2,0.628,0.372
1631,0021500496,1610612758,Kings,SAC,Sacramento,240,0.736,0.264,0.62,0.197,0.19,0.12,0.19,0.155,0.423,0.523,0.477,0.778,0.222,0.566,0.434
1632,0021500497,1610612760,Thunder,OKC,Oklahoma City,240,0.709,0.291,0.477,0.257,0.248,0.156,0.275,0.055,0.22,0.462,0.538,0.889,0.111,0.571,0.429
1633,0021500497,1610612766,Hornets,CHA,Charlotte,240,0.738,0.262,0.511,0.156,0.2,0.178,0.289,0.111,0.356,0.522,0.478,1.0,0.0,0.621,0.379
1634,0021500498,1610612754,Pacers,IND,Indiana,240,0.753,0.247,0.553,0.277,0.223,0.096,0.223,0.181,0.277,0.269,0.731,0.571,0.429,0.333,0.667
1635,0021500498,1610612765,Pistons,DET,Detroit,240,0.785,0.215,0.732,0.22,0.11,0.098,0.159,0.134,0.512,0.5,0.5,0.667,0.333,0.515,0.485
1636,0021500499,1610612739,Cavaliers,CLE,Cleveland,240,0.549,0.451,0.423,0.096,0.346,0.115,0.231,0.192,0.327,0.636,0.364,0.833,0.167,0.706,0.294
1637,0021500499,1610612753,Magic,ORL,Orlando,240,0.671,0.329,0.582,0.177,0.228,0.051,0.19,0.051,0.405,0.522,0.478,0.667,0.333,0.552,0.448
1638,0021500500,1610612749,Bucks,MIL,Milwaukee,240,0.787,0.213,0.505,0.063,0.253,0.116,0.242,0.232,0.442,0.542,0.458,0.875,0.125,0.625,0.375
1639,0021500500,1610612750,Timberwolves,MIN,Minnesota,240,0.833,0.167,0.706,0.212,0.106,0.094,0.188,0.165,0.494,0.533,0.467,1.0,0.0,0.576,0.424
1640,0021500501,1610612740,Pelicans,NOP,New Orleans,240,0.759,0.241,0.648,0.267,0.171,0.181,0.181,0.162,0.381,0.412,0.588,0.833,0.167,0.475,0.525
1641,0021500501,1610612742,Mavericks,DAL,Dallas,240,0.699,0.301,0.531,0.204,0.306,0.122,0.163,0.214,0.327,0.385,0.615,1.0,0.0,0.556,0.444
