,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0,0021400669,1610612758,SAC,Sacramento,1889,Andre Miller,,,20,0,0,0,0,0,4,4,20,0,0,0,0
1,0021400669,1610612752,NYK,New York,200745,Andrea Bargnani,C,,18,0,2,0,2,7,7,12,26,0,0,0,2
2,0021400669,1610612758,SAC,Sacramento,200752,Rudy Gay,F,,26,3,3,1,6,3,6,11,22,0,2,3,4
3,0021400669,1610612758,SAC,Sacramento,200797,Ryan Hollins,,,5,0,0,0,0,0,0,0,2,0,1,1,0
4,0021400669,1610612752,NYK,New York,200811,Lou Amundson,F,,12,0,0,0,4,5,6,16,14,0,0,4,0
5,0021400669,1610612752,NYK,New York,201160,Jason Smith,,,21,0,4,1,6,5,6,5,16,3,0,3,1
6,0021400669,1610612758,SAC,Sacramento,201171,Carl Landry,,,5,0,1,0,0,0,0,0,2,0,0,0,3
7,0021400669,1610612758,SAC,Sacramento,201574,Jason Thompson,F,,28,0,0,0,4,0,2,5,16,0,1,5,2
8,0021400669,1610612758,SAC,Sacramento,201956,Omri Casspi,,,20,2,4,6,12,0,2,0,10,0,0,2,1
9,0021400669,1610612758,SAC,Sacramento,202326,DeMarcus Cousins,C,,28,2,0,5,6,3,11,11,26,2,0,3,7
10,0021400669,1610612752,NYK,New York,202332,Cole Aldrich,,,20,0,4,0,8,11,3,9,18,3,0,4,1
11,0021400669,1610612752,NYK,New York,202498,Lance Thomas,,,21,1,3,0,2,5,4,5,16,1,0,1,2
12,0021400669,1610612758,SAC,Sacramento,202682,Derrick Williams,,,28,0,4,0,4,3,13,6,26,0,1,2,1
13,0021400669,1610612752,NYK,New York,203112,Quincy Acy,,,19,0,0,0,0,8,8,16,22,2,0,3,2
14,0021400669,1610612752,NYK,New York,203144,Alexey Shved,,,32,0,0,5,8,9,12,10,28,0,1,0,5
15,0021400669,1610612758,SAC,Sacramento,203463,Ben McLemore,G,,23,3,3,11,8,0,9,7,16,0,2,1,4
16,0021400669,1610612758,SAC,Sacramento,203492,Ray McCallum,G,,27,4,0,6,4,3,9,7,16,0,0,0,2
17,0021400669,1610612752,NYK,New York,203499,Shane Larkin,,,27,2,0,2,4,7,5,9,24,0,0,3,3
18,0021400669,1610612752,NYK,New York,203501,Tim Hardaway Jr.,G,,15,0,0,3,0,11,5,19,26,0,0,3,1
19,0021400669,1610612758,SAC,Sacramento,203917,Nik Stauskas,,,25,4,0,0,6,3,9,4,24,0,2,3,3
20,0021400669,1610612752,NYK,New York,203921,Cleanthony Early,F,,18,0,0,0,2,7,6,18,20,0,0,2,1
21,0021400669,1610612752,NYK,New York,204037,Travis Wear,,,9,0,0,0,0,4,3,4,12,0,0,1,1
22,0021400669,1610612752,NYK,New York,204038,Langston Galloway,G,,23,0,0,0,0,11,10,22,28,0,1,3,1
23,0021400801,1610612742,DAL,Dallas,101111,Charlie Villanueva,,,12,6,0,3,2,6,2,6,12,0,0,0,1
24,0021400801,1610612742,DAL,Dallas,101145,Monta Ellis,G,,35,2,0,5,2,13,12,12,34,0,0,2,4
25,0021400801,1610612742,DAL,Dallas,1717,Dirk Nowitzki,F,,30,4,2,0,6,10,10,8,26,2,0,1,3
26,0021400801,1610612742,DAL,Dallas,200765,Rajon Rondo,G,,29,0,1,2,4,10,10,8,26,0,0,4,1
27,0021400801,1610612742,DAL,Dallas,200826,Jose Juan Barea,,,14,0,3,0,4,4,0,2,6,0,0,0,1
28,0021400801,1610612760,OKC,Oklahoma City,201142,Kevin Durant,F,,37,6,2,0,2,21,7,12,28,0,0,1,3
29,0021400801,1610612760,OKC,Oklahoma City,201566,Russell Westbrook,G,,35,6,0,4,12,16,12,13,34,0,0,3,8
30,0021400801,1610612760,OKC,Oklahoma City,201586,Serge Ibaka,F,,37,2,6,3,10,19,10,13,30,0,0,2,3
31,0021400801,1610612760,OKC,Oklahoma City,201627,Anthony Morrow,,,29,4,2,5,6,20,6,5,30,0,0,2,1
32,0021400801,1610612742,DAL,Dallas,202329,Al-Farouq Aminu,,,16,5,0,0,0,6,4,2,10,0,0,3,1
33,0021400801,1610612742,DAL,Dallas,202718,Chandler Parsons,F,,36,3,0,3,2,11,12,12,36,0,0,2,1
34,0021400801,1610612760,OKC,Oklahoma City,203079,Dion Waiters,,,27,0,0,2,2,21,7,5,22,0,1,3,0
35,0021400801,1610612760,OKC,Oklahoma City,203087,Jeremy Lamb,,,4,0,0,0,0,3,0,0,4,0,0,0,1
36,0021400801,1610612760,OKC,Oklahoma City,203103,Perry Jones,,,9,0,0,0,0,5,2,0,8,0,1,2,0
37,0021400801,1610612742,DAL,Dallas,203108,Bernard James,,,8,0,2,0,2,11,2,2,6,1,0,1,1
38,0021400801,1610612760,OKC,Oklahoma City,203460,Andre Roberson,G,,15,0,4,0,4,8,4,10,8,0,1,2,1
39,0021400801,1610612760,OKC,Oklahoma City,203956,Mitch McGary,,,17,2,0,0,4,17,5,5,16,0,0,3,2
40,0021400801,1610612742,DAL,Dallas,2199,Tyson Chandler,C,,33,0,4,0,8,9,10,12,32,0,0,3,4
41,0021400801,1610612742,DAL,Dallas,2210,Richard Jefferson,,,6,0,0,0,2,7,2,0,4,0,0,1,0
