,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,DATE,IS_REGULAR_SEASON
30,101109,Raymond Felton,1610612742,DAL,0021500135,1,1,0,23.0,38.0,39.0,1.0,0.0,0.0,7.0,2.0,1.0,0.026,0.026,2015-11-13,1
31,101109,Raymond Felton,1610612742,DAL,0021500140,1,1,0,34.0,53.0,66.0,1.0,0.0,1.0,7.0,2.0,2.0,0.019,0.038,2015-11-14,1
32,101111,Charlie Villanueva,1610612742,DAL,0021500014,1,1,0,15.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-10-28,1
33,101111,Charlie Villanueva,1610612742,DAL,0021500020,1,0,1,23.0,29.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2015-10-29,1
34,101111,Charlie Villanueva,1610612742,DAL,0021500045,1,1,0,12.0,18.0,17.0,1.0,0.0,0.0,1.0,2.0,1.0,0.056,0.056,2015-11-01,1
35,101111,Charlie Villanueva,1610612742,DAL,0021500057,1,0,1,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-03,1
36,101111,Charlie Villanueva,1610612742,DAL,0021500072,1,0,1,13.0,14.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-11-05,1
37,101111,Charlie Villanueva,1610612742,DAL,0021500112,1,0,1,26.0,30.0,36.0,2.0,0.0,0.0,2.0,4.0,2.0,0.067,0.067,2015-11-10,1
38,101111,Charlie Villanueva,1610612742,DAL,0021500118,1,1,0,12.0,14.0,12.0,1.0,0.0,0.0,1.0,2.0,1.0,0.071,0.071,2015-11-11,1
39,101111,Charlie Villanueva,1610612742,DAL,0021500135,1,1,0,14.0,20.0,17.0,1.0,0.0,0.0,3.0,2.0,1.0,0.05,0.05,2015-11-13,1
40,101111,Charlie Villanueva,1610612742,DAL,0021500140,1,1,0,25.0,41.0,39.0,1.0,0.0,0.0,1.0,3.0,1.0,0.024,0.024,2015-11-14,1
41,101112,Channing Frye,1610612753,ORL,0021500043,1,0,1,9.0,15.0,13.0,1.0,1.0,0.0,2.0,3.0,2.0,0.067,0.133,2015-11-01,1
42,101112,Channing Frye,1610612753,ORL,0021500075,1,1,0,14.0,18.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-11-06,1
43,101112,Channing Frye,1610612753,ORL,0021500099,1,0,1,23.0,30.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.033,2015-11-09,1
44,101112,Channing Frye,1610612753,ORL,0021500114,1,1,0,16.0,23.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-11-11,1
45,101112,Channing Frye,1610612753,ORL,0021500128,1,1,0,23.0,31.0,19.0,1.0,0.0,0.0,1.0,3.0,1.0,0.032,0.032,2015-11-13,1
46,101112,Channing Frye,1610612753,ORL,0021500139,1,0,1,16.0,19.0,15.0,2.0,0.0,0.0,3.0,4.0,2.0,0.105,0.105,2015-11-14,1
47,101114,Deron Williams,1610612742,DAL,0021500014,1,1,0,20.0,46.0,49.0,7.0,2.0,1.0,11.0,18.0,10.0,0.152,0.217,2015-10-28,1
48,101114,Deron Williams,1610612742,DAL,0021500045,1,1,0,31.0,72.0,78.0,8.0,0.0,0.0,12.0,21.0,8.0,0.111,0.111,2015-11-01,1
49,101114,Deron Williams,1610612742,DAL,0021500057,1,0,1,36.0,64.0,78.0,4.0,2.0,2.0,11.0,11.0,8.0,0.063,0.125,2015-11-03,1
50,101114,Deron Williams,1610612742,DAL,0021500072,1,0,1,28.0,66.0,69.0,5.0,1.0,0.0,14.0,13.0,6.0,0.076,0.091,2015-11-05,1
51,101114,Deron Williams,1610612742,DAL,0021500088,1,1,0,30.0,61.0,69.0,2.0,0.0,1.0,10.0,5.0,3.0,0.033,0.049,2015-11-07,1
52,101114,Deron Williams,1610612742,DAL,0021500112,1,0,1,23.0,54.0,58.0,3.0,1.0,0.0,9.0,8.0,4.0,0.056,0.074,2015-11-10,1
53,101114,Deron Williams,1610612742,DAL,0021500118,1,1,0,32.0,73.0,84.0,6.0,1.0,0.0,12.0,16.0,7.0,0.082,0.096,2015-11-11,1
54,101114,Deron Williams,1610612742,DAL,0021500135,1,1,0,33.0,87.0,97.0,7.0,0.0,2.0,18.0,16.0,9.0,0.08,0.103,2015-11-13,1
55,101114,Deron Williams,1610612742,DAL,0021500140,1,1,0,35.0,93.0,97.0,5.0,1.0,2.0,13.0,12.0,8.0,0.054,0.086,2015-11-14,1
56,101123,Gerald Green,1610612748,MIA,0021500008,1,1,0,30.0,27.0,35.0,1.0,0.0,2.0,2.0,3.0,3.0,0.037,0.111,2015-10-28,1
57,101123,Gerald Green,1610612748,MIA,0021500021,1,0,1,16.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-10-30,1
58,101123,Gerald Green,1610612748,MIA,0021500041,1,1,0,18.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-01,1
59,101126,Nate Robinson,1610612740,NOP,0021500003,1,0,1,19.0,36.0,34.0,3.0,1.0,0.0,7.0,6.0,4.0,0.083,0.111,2015-10-27,1
60,101126,Nate Robinson,1610612740,NOP,0021500015,1,0,1,4.0,8.0,8.0,1.0,0.0,0.0,3.0,3.0,1.0,0.125,0.125,2015-10-28,1
61,101127,Jarrett Jack,1610612751,BKN,0021500028,1,0,1,27.0,70.0,72.0,7.0,0.0,1.0,13.0,14.0,8.0,0.1,0.114,2015-10-30,1
62,101127,Jarrett Jack,1610612751,BKN,0021500036,1,0,1,35.0,61.0,73.0,9.0,0.0,4.0,14.0,18.0,13.0,0.148,0.213,2015-10-31,1
63,101127,Jarrett Jack,1610612751,BKN,0021500047,1,0,1,35.0,73.0,83.0,4.0,2.0,4.0,8.0,12.0,10.0,0.055,0.137,2015-11-02,1
64,101127,Jarrett Jack,1610612751,BKN,0021500062,1,0,1,27.0,49.0,53.0,5.0,1.0,3.0,7.0,11.0,9.0,0.102,0.184,2015-11-04,1
65,101127,Jarrett Jack,1610612751,BKN,0021500077,1,0,1,38.0,67.0,83.0,12.0,0.0,2.0,15.0,24.0,14.0,0.179,0.209,2015-11-06,1
66,101127,Jarrett Jack,1610612751,BKN,0021500089,1,0,1,30.0,62.0,67.0,2.0,0.0,3.0,8.0,4.0,5.0,0.032,0.081,2015-11-07,1
67,101127,Jarrett Jack,1610612751,BKN,0021500119,1,1,0,28.0,59.0,64.0,6.0,1.0,1.0,13.0,12.0,8.0,0.102,0.136,2015-11-11,1
68,101127,Jarrett Jack,1610612751,BKN,0021500137,1,0,1,33.0,67.0,80.0,12.0,0.0,1.0,17.0,27.0,13.0,0.179,0.194,2015-11-13,1
69,101127,Jarrett Jack,1610612751,BKN,0021500144,1,0,1,44.0,86.0,103.0,9.0,2.0,4.0,18.0,20.0,15.0,0.105,0.174,2015-11-14,1
70,101133,Ian Mahinmi,1610612754,IND,0021500009,1,0,1,25.0,31.0,21.0,3.0,0.0,1.0,6.0,7.0,4.0,0.097,0.129,2015-10-28,1
71,101133,Ian Mahinmi,1610612754,IND,0021500018,1,0,1,30.0,37.0,27.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.081,2015-10-29,1
72,101133,Ian Mahinmi,1610612754,IND,0021500033,1,0,1,23.0,32.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2015-10-31,1
73,101133,Ian Mahinmi,1610612754,IND,0021500054,1,1,0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-03,1
74,101133,Ian Mahinmi,1610612754,IND,0021500080,1,1,0,25.0,29.0,24.0,2.0,0.0,0.0,2.0,4.0,2.0,0.069,0.069,2015-11-06,1
75,101133,Ian Mahinmi,1610612754,IND,0021500094,1,0,1,20.0,19.0,17.0,1.0,1.0,0.0,1.0,3.0,2.0,0.053,0.105,2015-11-08,1
76,101133,Ian Mahinmi,1610612754,IND,0021500099,1,1,0,28.0,29.0,21.0,1.0,0.0,1.0,1.0,2.0,2.0,0.034,0.069,2015-11-09,1
77,101133,Ian Mahinmi,1610612754,IND,0021500116,1,1,0,25.0,31.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2015-11-11,1
78,101133,Ian Mahinmi,1610612754,IND,0021500127,1,1,0,31.0,39.0,30.0,1.0,0.0,1.0,4.0,3.0,2.0,0.026,0.051,2015-11-13,1
79,101135,David Lee,1610612738,BOS,0021500005,1,1,0,22.0,31.0,28.0,5.0,0.0,1.0,8.0,13.0,6.0,0.161,0.194,2015-10-28,1
80,101135,David Lee,1610612738,BOS,0021500024,1,0,1,17.0,29.0,23.0,2.0,0.0,0.0,5.0,5.0,2.0,0.069,0.069,2015-10-30,1
81,101135,David Lee,1610612738,BOS,0021500040,1,0,1,21.0,38.0,27.0,1.0,0.0,2.0,4.0,2.0,3.0,0.026,0.079,2015-11-01,1
82,101135,David Lee,1610612738,BOS,0021500060,1,0,1,18.0,27.0,20.0,1.0,0.0,0.0,2.0,3.0,1.0,0.037,0.037,2015-11-04,1
83,101135,David Lee,1610612738,BOS,0021500076,1,1,0,13.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-06,1
84,101135,David Lee,1610612738,BOS,0021500110,1,1,0,21.0,41.0,36.0,3.0,0.0,0.0,6.0,8.0,3.0,0.073,0.073,2015-11-10,1
85,101135,David Lee,1610612738,BOS,0021500116,1,0,1,16.0,37.0,28.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.027,2015-11-11,1
86,101135,David Lee,1610612738,BOS,0021500129,1,1,0,12.0,21.0,18.0,1.0,0.0,0.0,2.0,3.0,1.0,0.048,0.048,2015-11-13,1
87,101135,David Lee,1610612738,BOS,0021500149,1,1,0,14.0,18.0,14.0,2.0,0.0,0.0,4.0,5.0,2.0,0.111,0.111,2015-11-15,1
88,101138,Brandon Bass,1610612747,LAL,0021500017,1,0,1,17.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-10-28,1
89,101138,Brandon Bass,1610612747,LAL,0021500031,1,0,1,20.0,25.0,18.0,1.0,0.0,0.0,4.0,3.0,1.0,0.04,0.04,2015-10-30,1
90,101138,Brandon Bass,1610612747,LAL,0021500045,1,0,1,20.0,11.0,9.0,2.0,0.0,0.0,2.0,5.0,2.0,0.182,0.182,2015-11-01,1
91,101138,Brandon Bass,1610612747,LAL,0021500059,1,0,1,19.0,15.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-11-03,1
92,101138,Brandon Bass,1610612747,LAL,0021500077,1,1,0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333,2015-11-06,1
